match_date,batting_team,bowling_team,venue,runs,wickets,overs,striker_runs,non_striker_runs,last_five_overs_runs,final_score,run_rate,wickets_in_hand
2023-05-10,Chennai Super Kings,Mumbai Indians,M. Chinnaswamy Stadium,83,1,8.6,31,41,48,181,9.651162790697676,9
2023-04-01,Gujarat Titans,Kolkata Knight Riders,Sawai Mansingh Stadium,84,3,11.1,37,21,43,174,7.5675675675675675,7
2023-04-21,Chennai Super Kings,Lucknow Super Giants,Rajiv Gandhi International Cricket Stadium,53,2,6.4,25,19,53,202,8.28125,8
2023-05-09,Punjab Kings,Kolkata Knight Riders,M. A. Chidambaram Stadium,57,0,5.7,32,16,49,207,10.0,10
2023-04-22,Kolkata Knight Riders,Delhi Capitals,M. A. Chidambaram Stadium,103,1,13.8,39,42,47,165,7.463768115942028,9
2023-05-19,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,97,6,16.7,57,29,28,120,5.808383233532934,4
2023-04-29,Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,63,4,8.6,28,21,36,146,7.325581395348838,6
2023-05-18,Mumbai Indians,Chennai Super Kings,Eden Gardens,86,6,14.1,38,32,28,127,6.099290780141844,4
2023-04-07,Gujarat Titans,Delhi Capitals,Narendra Modi Stadium,37,3,6.6,19,12,36,125,5.606060606060606,7
2023-05-10,Delhi Capitals,Gujarat Titans,Dr. DY Patil Sports Academy,63,2,7.9,30,23,32,158,7.974683544303797,8
2023-05-26,Delhi Capitals,Kolkata Knight Riders,Wankhede Stadium,62,4,8.5,20,28,43,158,7.294117647058823,6
2023-05-05,Royal Challengers Bangalore,Delhi Capitals,Sawai Mansingh Stadium,133,6,17.7,68,44,43,156,7.514124293785311,4
2023-05-27,Gujarat Titans,Sunrisers Hyderabad,M. A. Chidambaram Stadium,66,0,8.6,22,26,32,166,7.674418604651163,10
2023-05-25,Punjab Kings,Chennai Super Kings,Sawai Mansingh Stadium,53,3,8.5,26,20,32,143,6.235294117647059,7
