match_date,batting_team,bowling_team,venue,runs,wickets,overs,striker_runs,non_striker_runs,last_five_overs_runs,final_score
2023-05-10,Chennai Super Kings,Mumbai Indians,M. Chinnaswamy Stadium,83,1,8.6,31,41,48,181
2023-04-01,Gujarat Titans,Kolkata Knight Riders,Sawai Mansingh Stadium,84,3,11.1,37,21,43,174
2023-04-21,Chennai Super Kings,Lucknow Super Giants,Rajiv Gandhi International Cricket Stadium,53,2,6.4,25,19,53,202
2023-05-09,Punjab Kings,Kolkata Knight Riders,M. A. Chidambaram Stadium,57,0,5.7,32,16,49,207
2023-04-22,Kolkata Knight Riders,Delhi Capitals,M. A. Chidambaram Stadium,103,1,13.8,39,42,47,165
2023-05-19,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,97,6,16.7,57,29,28,120
2023-04-29,Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,63,4,8.6,28,21,36,146
2023-05-18,Mumbai Indians,Chennai Super Kings,Eden Gardens,86,6,14.1,38,32,28,127
2023-04-07,Gujarat Titans,Delhi Capitals,Narendra Modi Stadium,37,3,6.6,19,12,36,125
2023-05-10,Delhi Capitals,Gujarat Titans,Dr. DY Patil Sports Academy,63,2,7.9,30,23,32,158
2023-05-26,Delhi Capitals,Kolkata Knight Riders,Wankhede Stadium,62,4,8.5,20,28,43,158
2023-05-05,Royal Challengers Bangalore,Delhi Capitals,Sawai Mansingh Stadium,133,6,17.7,68,44,43,156
2023-05-27,Gujarat Titans,Sunrisers Hyderabad,M. A. Chidambaram Stadium,66,0,8.6,22,26,32,166
2023-05-25,Punjab Kings,Chennai Super Kings,Sawai Mansingh Stadium,53,3,8.5,26,20,32,143
2023-04-06,Rajasthan Royals,Punjab Kings,Rajiv Gandhi International Cricket Stadium,60,5,11.0,20,28,32,116
2023-05-04,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi International Cricket Stadium,54,3,7.7,28,14,37,164
2023-04-05,Kolkata Knight Riders,Royal Challengers Bangalore,Rajiv Gandhi International Cricket Stadium,116,1,12.0,34,50,48,218
2023-05-14,Gujarat Titans,Sunrisers Hyderabad,Eden Gardens,70,1,7.8,35,21,37,196
2023-04-10,Mumbai Indians,Gujarat Titans,M. A. Chidambaram Stadium,147,1,17.3,47,61,53,183
2023-04-26,Lucknow Super Giants,Gujarat Titans,Narendra Modi Stadium,132,3,18.6,43,55,39,149
2023-03-31,Sunrisers Hyderabad,Chennai Super Kings,M. A. Chidambaram Stadium,81,4,12.8,47,23,31,131
2023-05-09,Gujarat Titans,Mumbai Indians,Sawai Mansingh Stadium,80,0,9.3,24,32,46,204
2023-04-13,Delhi Capitals,Gujarat Titans,Punjab Cricket Association Stadium,61,0,8.6,18,27,42,171
2023-05-05,Rajasthan Royals,Gujarat Titans,Wankhede Stadium,60,1,6.6,21,27,39,199
2023-05-25,Mumbai Indians,Punjab Kings,Arun Jaitley Stadium,115,1,14.9,69,30,45,169
2023-05-21,Royal Challengers Bangalore,Rajasthan Royals,Wankhede Stadium,68,2,7.6,35,21,41,173
2023-04-02,Sunrisers Hyderabad,Kolkata Knight Riders,Arun Jaitley Stadium,94,7,16.8,38,43,31,113
2023-05-19,Delhi Capitals,Punjab Kings,Sawai Mansingh Stadium,61,4,10.8,25,27,30,128
2023-04-22,Punjab Kings,Rajasthan Royals,Dr. DY Patil Sports Academy,157,1,19.3,72,45,32,165
